"Class Molecular Function"	"Total of Genes"
"GO:0098847 - sequence-specific single stranded DNA binding"	2
"GO:0102250 - linear malto-oligosaccharide phosphorylase activity"	2
"GO:0102420 - sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity"	2
"GO:0102499 - SHG alpha-glucan phosphorylase activity"	2
"GO:0102545 - phosphatidyl phospholipase B activity"	2
"GO:0106310 - protein serine kinase activity"	2
"GO:0106316 - nitrite reductase NADH activity"	2
"GO:0106415 - muramoyltetrapeptide carboxypeptidase activity"	2
"GO:0110153 - RNA NAD-cap (NMN-forming) hydrolase activity"	2
"GO:0140315 - iron ion sequestering activity"	2
"GO:1900750 - oligopeptide binding"	2
"GO:1901505 - carbohydrate derivative transmembrane transporter activity"	2
"GO:1901681 - sulfur compound binding"	2
"GO:1902670 - carbon dioxide binding"	2
"GO:1903981 - enterobactin binding"	2
"GO:1990002 - methylglyoxal reductase (NADPH-dependent, acetol producing)"	2
"GO:1990189 - peptide-serine-alpha-N-acetyltransferase activity"	2
"GO:1990275 - preribosome binding"	2
"GO:1990610 - acetolactate synthase regulator activity"	2
"GO:1990825 - sequence-specific mRNA binding"	2
"GO:0000006 - high-affinity zinc transmembrane transporter activity"	1
"GO:0000030 - mannosyltransferase activity"	1
"GO:0000034 - adenine deaminase activity"	1
"GO:0000035 - acyl binding"	1
"GO:0000036 - acyl carrier activity"	1
"GO:0000062 - fatty-acyl-CoA binding"	1
"GO:0000100 - S-methylmethionine transmembrane transporter activity"	1
"GO:0000102 - L-methionine secondary active transmembrane transporter activity"	1
"GO:0000179 - rRNA (adenine-N6,N6-)-dimethyltransferase activity"	1
"GO:0000210 - NAD+ diphosphatase activity"	1
"GO:0000215 - tRNA 2'-phosphotransferase activity"	1
"GO:0000217 - DNA secondary structure binding"	1
"GO:0000225 - N-acetylglucosaminylphosphatidylinositol deacetylase activity"	1
"GO:0000293 - ferric-chelate reductase activity"	1
"GO:0000298 - endopolyphosphatase activity"	1
"GO:0000310 - xanthine phosphoribosyltransferase activity"	1
"GO:0000700 - mismatch base pair DNA N-glycosylase activity"	1
"GO:0000701 - purine-specific mismatch base pair DNA N-glycosylase activity"	1
"GO:0000774 - adenyl-nucleotide exchange factor activity"	1
"GO:0000810 - diacylglycerol diphosphate phosphatase activity"	1
"GO:0000906 - 6,7-dimethyl-8-ribityllumazine synthase activity"	1
"GO:0000908 - taurine dioxygenase activity"	1
"GO:0001070 - RNA-binding transcription regulator activity"	1
"GO:0001147 - transcription termination site sequence-specific DNA binding"	1
"GO:0001681 - sialate O-acetylesterase activity"	1
"GO:0001727 - lipid kinase activity"	1
"GO:0001761 - beta-alanine transmembrane transporter activity"	1
"GO:0001883 - purine nucleoside binding"	1
"GO:0001884 - pyrimidine nucleoside binding"	1
"GO:0002020 - protease binding"	1
"GO:0002055 - adenine binding"	1
"GO:0002057 - guanine binding"	1
"GO:0002083 - 4-hydroxybenzoate decaprenyltransferase activity"	1
"GO:0002094 - polyprenyltransferase activity"	1
"GO:0002935 - tRNA (adenine(37)-C2)-methyltransferase activity"	1
"GO:0002952 - (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity"	1
"GO:0003674 - molecular_function"	1
"GO:0003689 - DNA clamp loader activity"	1
"GO:0003825 - alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"	1
"GO:0003839 - gamma-glutamylcyclotransferase activity"	1
"GO:0003841 - 1-acylglycerol-3-phosphate O-acyltransferase activity"	1
"GO:0003842 - 1-pyrroline-5-carboxylate dehydrogenase activity"	1
"GO:0003844 - 1,4-alpha-glucan branching enzyme activity"	1
"GO:0003848 - 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity"	1
"GO:0003856 - 3-dehydroquinate synthase activity"	1
"GO:0003864 - 3-methyl-2-oxobutanoate hydroxymethyltransferase activity"	1
"GO:0003866 - 3-phosphoshikimate 1-carboxyvinyltransferase activity"	1
"GO:0003871 - 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity"	1
"GO:0003879 - ATP phosphoribosyltransferase activity"	1
"GO:0003882 - CDP-diacylglycerol-serine O-phosphatidyltransferase activity"	1
"GO:0003883 - CTP synthase activity"	1
"GO:0003886 - DNA (cytosine-5-)-methyltransferase activity"	1
"GO:0003896 - DNA primase activity"	1
"GO:0003904 - deoxyribodipyrimidine photo-lyase activity"	1
"GO:0003905 - alkylbase DNA N-glycosylase activity"	1
"GO:0003909 - DNA ligase activity"	1
"GO:0003919 - FMN adenylyltransferase activity"	1
"GO:0003920 - GMP reductase activity"	1
"GO:0003921 - GMP synthase activity"	1
"GO:0003922 - GMP synthase (glutamine-hydrolyzing) activity"	1
"GO:0003934 - GTP cyclohydrolase I activity"	1
"GO:0003937 - IMP cyclohydrolase activity"	1
"GO:0003938 - IMP dehydrogenase activity"	1
"GO:0003939 - L-iditol 2-dehydrogenase activity"	1
"GO:0003949 - 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity"	1
"GO:0003952 - NAD+ synthase (glutamine-hydrolyzing) activity"	1
"GO:0003957 - NAD(P)+ transhydrogenase (B-specific) activity"	1
"GO:0003959 - NADPH dehydrogenase activity"	1
"GO:0003960 - NADPH:quinone reductase activity"	1
"GO:0003961 - O-acetylhomoserine aminocarboxypropyltransferase activity"	1
"GO:0003962 - cystathionine gamma-synthase activity"	1
"GO:0003963 - RNA-3'-phosphate cyclase activity"	1
"GO:0003973 - (S)-2-hydroxy-acid oxidase activity"	1
"GO:0003977 - UDP-N-acetylglucosamine diphosphorylase activity"	1
"GO:0003978 - UDP-glucose 4-epimerase activity"	1
"GO:0003979 - UDP-glucose 6-dehydrogenase activity"	1
"GO:0003986 - acetyl-CoA hydrolase activity"	1
"GO:0003987 - acetate-CoA ligase activity"	1
"GO:0003991 - acetylglutamate kinase activity"	1
"GO:0003998 - acylphosphatase activity"	1
"GO:0003999 - adenine phosphoribosyltransferase activity"	1
"GO:0004014 - adenosylmethionine decarboxylase activity"	1
"GO:0004015 - adenosylmethionine-8-amino-7-oxononanoate transaminase activity"	1
"GO:0004016 - adenylate cyclase activity"	1
"GO:0004018 - N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity"	1
"GO:0004019 - adenylosuccinate synthase activity"	1
"GO:0004020 - adenylylsulfate kinase activity"	1
"GO:0004024 - alcohol dehydrogenase activity, zinc-dependent"	1
"GO:0004025 - alcohol dehydrogenase activity, iron-dependent"	1
"GO:0004032 - alditol:NADP+ 1-oxidoreductase activity"	1
"GO:0004038 - allantoinase activity"	1
"GO:0004044 - amidophosphoribosyltransferase activity"	1
"GO:0004047 - aminomethyltransferase activity"	1
"GO:0004055 - argininosuccinate synthase activity"	1
"GO:0004056 - argininosuccinate lyase activity"	1
"GO:0004060 - arylamine N-acetyltransferase activity"	1
"GO:0004064 - arylesterase activity"	1
"GO:0004066 - asparagine synthase (glutamine-hydrolyzing) activity"	1
"GO:0004068 - aspartate 1-decarboxylase activity"	1
"GO:0004069 - L-aspartate:2-oxoglutarate aminotransferase activity"	1
"GO:0004073 - aspartate-semialdehyde dehydrogenase activity"	1
"GO:0004074 - biliverdin reductase (NAD(P)+) activity"	1
"GO:0004075 - biotin carboxylase activity"	1
"GO:0004076 - biotin synthase activity"	1
"GO:0004077 - biotin-[acetyl-CoA-carboxylase] ligase activity"	1
"GO:0004087 - carbamoyl-phosphate synthase (ammonia) activity"	1
"GO:0004090 - carbonyl reductase (NADPH) activity"	1
"GO:0004099 - chitin deacetylase activity"	1
"GO:0004107 - chorismate synthase activity"	1
"GO:0004113 - 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity"	1
"GO:0004115 - 3',5'-cyclic-AMP phosphodiesterase activity"	1
"GO:0004122 - cystathionine beta-synthase activity"	1
"GO:0004123 - cystathionine gamma-lyase activity"	1
"GO:0004125 - L-seryl-tRNA(Sec) selenium transferase activity"	1
"GO:0004126 - cytidine deaminase activity"	1
"GO:0004130 - cytochrome-c peroxidase activity"	1
"GO:0004133 - glycogen debranching enzyme activity"	1
"GO:0004134 - 4-alpha-glucanotransferase activity"	1
"GO:0004135 - amylo-alpha-1,6-glucosidase activity"	1
"GO:0004139 - deoxyribose-phosphate aldolase activity"	1
"GO:0004140 - dephospho-CoA kinase activity"	1
"GO:0004145 - diamine N-acetyltransferase activity"	1
"GO:0004149 - dihydrolipoyllysine-residue succinyltransferase activity"	1
"GO:0004152 - dihydroorotate dehydrogenase activity"	1
"GO:0004155 - 6,7-dihydropteridine reductase activity"	1
"GO:0004156 - dihydropteroate synthase activity"	1
"GO:0004160 - dihydroxy-acid dehydratase activity"	1
"GO:0004161 - dimethylallyltranstransferase activity"	1
"GO:0004165 - delta(3)-delta(2)-enoyl-CoA isomerase activity"	1
"GO:0004181 - metallocarboxypeptidase activity"	1
"GO:0004239 - initiator methionyl aminopeptidase activity"	1
"GO:0004298 - threonine-type endopeptidase activity"	1
"GO:0004314 - [acyl-carrier-protein] S-malonyltransferase activity"	1
"GO:0004316 - 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity"	1
"GO:0004318 - enoyl-[acyl-carrier-protein] reductase (NADH) activity"	1
"GO:0004324 - ferredoxin-NADP+ reductase activity"	1
"GO:0004326 - tetrahydrofolylpolyglutamate synthase activity"	1
"GO:0004337 - geranyltranstransferase activity"	1
"GO:0004345 - glucose-6-phosphate dehydrogenase activity"	1
"GO:0004346 - glucose-6-phosphatase activity"	1
"GO:0004349 - glutamate 5-kinase activity"	1
"GO:0004350 - glutamate-5-semialdehyde dehydrogenase activity"	1
"GO:0004353 - glutamate dehydrogenase [NAD(P)+] activity"	1
"GO:0004358 - glutamate N-acetyltransferase activity"	1
"GO:0004362 - glutathione-disulfide reductase (NADP) activity"	1
"GO:0004363 - glutathione synthase activity"	1
"GO:0004372 - glycine hydroxymethyltransferase activity"	1
"GO:0004373 - glycogen (starch) synthase activity"	1
"GO:0004375 - glycine dehydrogenase (decarboxylating) activity"	1
"GO:0004385 - guanylate kinase activity"	1
"GO:0004399 - histidinol dehydrogenase activity"	1
"GO:0004400 - histidinol-phosphate transaminase activity"	1
"GO:0004401 - histidinol-phosphatase activity"	1
"GO:0004413 - homoserine kinase activity"	1
"GO:0004414 - homoserine O-acetyltransferase activity"	1
"GO:0004417 - hydroxyethylthiazole kinase activity"	1
"GO:0004418 - hydroxymethylbilane synthase activity"	1
"GO:0004423 - iduronate-2-sulfatase activity"	1
"GO:0004424 - imidazoleglycerol-phosphate dehydratase activity"	1
"GO:0004425 - indole-3-glycerol-phosphate synthase activity"	1
"GO:0004427 - inorganic diphosphate phosphatase activity"	1
"GO:0004450 - isocitrate dehydrogenase (NADP+) activity"	1
"GO:0004451 - isocitrate lyase activity"	1
"GO:0004455 - ketol-acid reductoisomerase activity"	1
"GO:0004456 - phosphogluconate dehydratase activity"	1
"GO:0004457 - lactate dehydrogenase activity"	1
"GO:0004462 - lactoylglutathione lyase activity"	1
"GO:0004466 - long-chain fatty acyl-CoA dehydrogenase activity"	1
"GO:0004471 - malate dehydrogenase (decarboxylating) (NAD+) activity"	1
"GO:0004473 - malate dehydrogenase (decarboxylating) (NADP+) activity"	1
"GO:0004475 - mannose-1-phosphate guanylyltransferase (GTP) activity"	1
"GO:0004476 - mannose-6-phosphate isomerase activity"	1
"GO:0004477 - methenyltetrahydrofolate cyclohydrolase activity"	1
"GO:0004478 - methionine adenosyltransferase activity"	1
"GO:0004479 - methionyl-tRNA formyltransferase activity"	1
"GO:0004486 - methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity"	1
"GO:0004488 - methylenetetrahydrofolate dehydrogenase (NADP+) activity"	1
"GO:0004489 - methylenetetrahydrofolate reductase (NAD(P)H) activity"	1
"GO:0004492 - methyl/ethyl malonyl-CoA decarboxylase activity"	1
"GO:0004494 - methylmalonyl-CoA mutase activity"	1
"GO:0004514 - nicotinate-nucleotide diphosphorylase (carboxylating) activity"	1
"GO:0004515 - nicotinate-nucleotide adenylyltransferase activity"	1
"GO:0004516 - nicotinate phosphoribosyltransferase activity"	1
"GO:0004525 - ribonuclease III activity"	1
"GO:0004530 - deoxyribonuclease I activity"	1
"GO:0004532 - RNA exonuclease activity"	1
"GO:0004534 - 5'-3' RNA exonuclease activity"	1
"GO:0004557 - alpha-galactosidase activity"	1
"GO:0004558 - alpha-1,4-glucosidase activity"	1
"GO:0004559 - alpha-mannosidase activity"	1
"GO:0004563 - beta-N-acetylhexosaminidase activity"	1
"GO:0004566 - beta-glucuronidase activity"	1
"GO:0004568 - chitinase activity"	1
"GO:0004574 - oligo-1,6-glucosidase activity"	1
"GO:0004575 - sucrose alpha-glucosidase activity"	1
"GO:0004588 - orotate phosphoribosyltransferase activity"	1
"GO:0004591 - oxoglutarate dehydrogenase (succinyl-transferring) activity"	1
"GO:0004592 - pantoate-beta-alanine ligase activity"	1
"GO:0004594 - pantothenate kinase activity"	1
"GO:0004595 - pantetheine-phosphate adenylyltransferase activity"	1
"GO:0004596 - peptide alpha-N-acetyltransferase activity"	1
"GO:0004602 - glutathione peroxidase activity"	1
"GO:0004604 - phosphoadenylyl-sulfate reductase (thioredoxin) activity"	1
"GO:0004605 - phosphatidate cytidylyltransferase activity"	1
"GO:0004609 - phosphatidylserine decarboxylase activity"	1
"GO:0004611 - phosphoenolpyruvate carboxykinase activity"	1
"GO:0004612 - phosphoenolpyruvate carboxykinase (ATP) activity"	1
"GO:0004614 - phosphoglucomutase activity"	1
"GO:0004616 - phosphogluconate dehydrogenase (decarboxylating) activity"	1
"GO:0004617 - phosphoglycerate dehydrogenase activity"	1
"GO:0004618 - phosphoglycerate kinase activity"	1
"GO:0004620 - phospholipase activity"	1
"GO:0004623 - phospholipase A2 activity"	1
"GO:0004630 - phospholipase D activity"	1
"GO:0004632 - phosphopantothenate--cysteine ligase activity"	1
"GO:0004633 - phosphopantothenoylcysteine decarboxylase activity"	1
"GO:0004634 - phosphopyruvate hydratase activity"	1
"GO:0004635 - phosphoribosyl-AMP cyclohydrolase activity"	1
"GO:0004636 - phosphoribosyl-ATP diphosphatase activity"	1
"GO:0004638 - phosphoribosylaminoimidazole carboxylase activity"	1
"GO:0004639 - phosphoribosylaminoimidazolesuccinocarboxamide synthase activity"	1
"GO:0004640 - phosphoribosylanthranilate isomerase activity"	1
"GO:0004641 - phosphoribosylformylglycinamidine cyclo-ligase activity"	1
"GO:0004642 - phosphoribosylformylglycinamidine synthase activity"	1
"GO:0004643 - phosphoribosylaminoimidazolecarboxamide formyltransferase activity"	1
"GO:0004648 - O-phospho-L-serine:2-oxoglutarate aminotransferase activity"	1
"GO:0004654 - polyribonucleotide nucleotidyltransferase activity"	1
"GO:0004655 - porphobilinogen synthase activity"	1
"GO:0004657 - proline dehydrogenase activity"	1
"GO:0004664 - prephenate dehydratase activity"	1
"GO:0004665 - prephenate dehydrogenase (NADP+) activity"	1
"GO:0004719 - protein-L-isoaspartate (D-aspartate) O-methyltransferase activity"	1
"GO:0004729 - oxygen-dependent protoporphyrinogen oxidase activity"	1
"GO:0004730 - pseudouridylate synthase activity"	1
"GO:0004733 - pyridoxamine phosphate oxidase activity"	1
"GO:0004735 - pyrroline-5-carboxylate reductase activity"	1
"GO:0004739 - pyruvate dehydrogenase (acetyl-transferring) activity"	1
"GO:0004742 - dihydrolipoyllysine-residue acetyltransferase activity"	1
"GO:0004746 - riboflavin synthase activity"	1
"GO:0004747 - ribokinase activity"	1
"GO:0004749 - ribose phosphate diphosphokinase activity"	1
"GO:0004756 - selenide, water dikinase activity"	1
"GO:0004766 - spermidine synthase activity"	1
"GO:0004787 - thiamine diphosphate phosphatase activity"	1
"GO:0004789 - thiamine-phosphate diphosphorylase activity"	1
"GO:0004795 - threonine synthase activity"	1
"GO:0004797 - thymidine kinase activity"	1
"GO:0004799 - thymidylate synthase activity"	1
"GO:0004806 - triglyceride lipase activity"	1
"GO:0004807 - triose-phosphate isomerase activity"	1
"GO:0004808 - tRNA (5-methylaminomethyl-2-thiouridylate)(34)-methyltransferase activity"	1
"GO:0004813 - alanine-tRNA ligase activity"	1
"GO:0004815 - aspartate-tRNA ligase activity"	1
"GO:0004816 - asparagine-tRNA ligase activity"	1
"GO:0004817 - cysteine-tRNA ligase activity"	1
"GO:0004819 - glutamine-tRNA ligase activity"	1
"GO:0004821 - histidine-tRNA ligase activity"	1
"GO:0004822 - isoleucine-tRNA ligase activity"	1
"GO:0004823 - leucine-tRNA ligase activity"	1
"GO:0004825 - methionine-tRNA ligase activity"	1
"GO:0004827 - proline-tRNA ligase activity"	1
"GO:0004828 - serine-tRNA ligase activity"	1
"GO:0004829 - threonine-tRNA ligase activity"	1
"GO:0004830 - tryptophan-tRNA ligase activity"	1
"GO:0004832 - valine-tRNA ligase activity"	1
"GO:0004845 - uracil phosphoribosyltransferase activity"	1
"GO:0004848 - ureidoglycolate hydrolase activity"	1
"GO:0004849 - uridine kinase activity"	1
"GO:0004851 - uroporphyrin-III C-methyltransferase activity"	1
"GO:0004852 - uroporphyrinogen-III synthase activity"	1
"GO:0004853 - uroporphyrinogen decarboxylase activity"	1
"GO:0004856 - xylulokinase activity"	1
"GO:0004867 - serine-type endopeptidase inhibitor activity"	1
"GO:0005034 - osmosensor activity"	1
"GO:0005047 - signal recognition particle binding"	1
"GO:0005085 - guanyl-nucleotide exchange factor activity"	1
"GO:0005096 - GTPase activator activity"	1
"GO:0005102 - signaling receptor binding"	1
"GO:0005245 - voltage-gated calcium channel activity"	1
"GO:0005253 - monoatomic anion channel activity"	1
"GO:0005262 - calcium channel activity"	1
"GO:0005280 - amino acid:proton symporter activity"	1
"GO:0005283 - amino acid:sodium symporter activity"	1
"GO:0005294 - neutral L-amino acid secondary active transmembrane transporter activity"	1
"GO:0005295 - neutral L-amino acid:sodium symporter activity"	1
"GO:0005297 - proline:proton symporter activity"	1
"GO:0005298 - proline:sodium symporter activity"	1
"GO:0005302 - L-tyrosine transmembrane transporter activity"	1
"GO:0005319 - lipid transporter activity"	1
"GO:0005344 - oxygen carrier activity"	1
"GO:0005345 - purine nucleobase transmembrane transporter activity"	1
"GO:0005350 - pyrimidine nucleobase transmembrane transporter activity"	1
"GO:0005363 - maltose transmembrane transporter activity"	1
"GO:0005372 - water transmembrane transporter activity"	1
"GO:0005402 - carbohydrate:monoatomic cation symporter activity"	1
"GO:0005412 - glucose:sodium symporter activity"	1
"GO:0005416 - amino acid:monoatomic cation symporter activity"	1
"GO:0005436 - sodium:phosphate symporter activity"	1
"GO:0005452 - solute:inorganic anion antiporter activity"	1
"GO:0005528 - FK506 binding"	1
"GO:0008061 - chitin binding"	1
"GO:0008073 - ornithine decarboxylase inhibitor activity"	1
"GO:0008108 - UDP-glucose:hexose-1-phosphate uridylyltransferase activity"	1
"GO:0008113 - peptide-methionine (S)-S-oxide reductase activity"	1
"GO:0008114 - phosphogluconate 2-dehydrogenase activity"	1
"GO:0008115 - sarcosine oxidase activity"	1
"GO:0008126 - acetylesterase activity"	1
"GO:0008127 - quercetin 2,3-dioxygenase activity"	1
"GO:0008131 - primary amine oxidase activity"	1
"GO:0008175 - tRNA methyltransferase activity"	1
"GO:0008176 - tRNA (guanine(46)-N7)-methyltransferase activity"	1
"GO:0008195 - phosphatidate phosphatase activity"	1
"GO:0008201 - heparin binding"	1
"GO:0008251 - tRNA-specific adenosine deaminase activity"	1
"GO:0008260 - succinyl-CoA:3-oxo-acid CoA-transferase activity"	1
"GO:0008263 - pyrimidine-specific mismatch base pair DNA N-glycosylase activity"	1
"GO:0008271 - secondary active sulfate transmembrane transporter activity"	1
"GO:0008273 - calcium, potassium:sodium antiporter activity"	1
"GO:0008311 - double-stranded DNA 3'-5' DNA exonuclease activity"	1
"GO:0008327 - methyl-CpG binding"	1
"GO:0008375 - acetylglucosaminyltransferase activity"	1
"GO:0008412 - 4-hydroxybenzoate octaprenyltransferase activity"	1
"GO:0008430 - selenium binding"	1
"GO:0008441 - 3'(2'),5'-bisphosphate nucleotidase activity"	1
"GO:0008446 - GDP-mannose 4,6-dehydratase activity"	1
"GO:0008474 - palmitoyl-(protein) hydrolase activity"	1
"GO:0008479 - tRNA-guanosine(34) queuine transglycosylase activity"	1
"GO:0008490 - arsenite secondary active transmembrane transporter activity"	1
"GO:0008494 - translation activator activity"	1
"GO:0008495 - protoheme IX farnesyltransferase activity"	1
"GO:0008519 - ammonium transmembrane transporter activity"	1
"GO:0008531 - riboflavin kinase activity"	1
"GO:0008534 - oxidized purine nucleobase lesion DNA N-glycosylase activity"	1
"GO:0008551 - P-type cadmium transporter activity"	1
"GO:0008609 - alkylglycerone-phosphate synthase activity"	1
"GO:0008650 - rRNA (uridine-2'-O-)-methyltransferase activity"	1
"GO:0008661 - 1-deoxy-D-xylulose-5-phosphate synthase activity"	1
"GO:0008662 - 1-phosphofructokinase activity"	1
"GO:0008663 - 2',3'-cyclic-nucleotide 2'-phosphodiesterase activity"	1
"GO:0008664 - 2'-5'-RNA ligase activity"	1
"GO:0008666 - 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity"	1
"GO:0008667 - 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity"	1
"GO:0008668 - (2,3-dihydroxybenzoyl)adenylate synthase activity"	1
"GO:0008670 - 2,4-dienoyl-CoA reductase (NADPH) activity"	1
"GO:0008671 - 2-dehydro-3-deoxygalactonokinase activity"	1
"GO:0008672 - 2-dehydro-3-deoxyglucarate aldolase activity"	1
"GO:0008674 - 2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity"	1
"GO:0008675 - 2-dehydro-3-deoxy-phosphogluconate aldolase activity"	1
"GO:0008676 - 3-deoxy-8-phosphooctulonate synthase activity"	1
"GO:0008678 - 2-deoxy-D-gluconate 3-dehydrogenase activity"	1
"GO:0008684 - 2-oxopent-4-enoate hydratase activity"	1
"GO:0008685 - 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity"	1
"GO:0008688 - 3-(3-hydroxyphenyl)propionate hydroxylase activity"	1
"GO:0008690 - 3-deoxy-manno-octulosonate cytidylyltransferase activity"	1
"GO:0008691 - 3-hydroxybutyryl-CoA dehydrogenase activity"	1
"GO:0008694 - 3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity"	1
"GO:0008696 - 4-amino-4-deoxychorismate lyase activity"	1
"GO:0008697 - 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity"	1
"GO:0008701 - 4-hydroxy-2-oxovalerate aldolase activity"	1
"GO:0008703 - 5-amino-6-(5-phosphoribosylamino)uracil reductase activity"	1
"GO:0008707 - 4-phytase activity"	1
"GO:0008709 - cholate 7-alpha-dehydrogenase activity"	1
"GO:0008710 - 8-amino-7-oxononanoate synthase activity"	1
"GO:0008712 - ADP-glyceromanno-heptose 6-epimerase activity"	1
"GO:0008715 - CDP-diacylglycerol diphosphatase activity"	1
"GO:0008718 - D-amino-acid dehydrogenase activity"	1
"GO:0008719 - dihydroneopterin triphosphate 2'-epimerase activity"	1
"GO:0008721 - D-serine ammonia-lyase activity"	1
"GO:0008727 - GDP-mannose mannosyl hydrolase activity"	1
"GO:0008733 - L-arabinose isomerase activity"	1
"GO:0008734 - L-aspartate oxidase activity"	1
"GO:0008736 - L-fucose isomerase activity"	1
"GO:0008737 - L-fuculokinase activity"	1
"GO:0008738 - L-fuculose-phosphate aldolase activity"	1
"GO:0008740 - L-rhamnose isomerase activity"	1
"GO:0008741 - ribulokinase activity"	1
"GO:0008744 - L-xylulokinase activity"	1
"GO:0008747 - N-acetylneuraminate lyase activity"	1
"GO:0008748 - N-ethylmaleimide reductase activity"	1
"GO:0008756 - o-succinylbenzoate-CoA ligase activity"	1
"GO:0008759 - UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity"	1
"GO:0008760 - UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity"	1
"GO:0008762 - UDP-N-acetylmuramate dehydrogenase activity"	1
"GO:0008763 - UDP-N-acetylmuramate-L-alanine ligase activity"	1
"GO:0008764 - UDP-N-acetylmuramoylalanine-D-glutamate ligase activity"	1
"GO:0008765 - UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity"	1
"GO:0008766 - UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity"	1
"GO:0008767 - UDP-galactopyranose mutase activity"	1
"GO:0008768 - UDP-sugar diphosphatase activity"	1
"GO:0008770 - [acyl-carrier-protein] phosphodiesterase activity"	1
"GO:0008771 - [citrate (pro-3S)-lyase] ligase activity"	1
"GO:0008772 - [isocitrate dehydrogenase (NADP+)] kinase activity"	1
"GO:0008773 - [protein-PII] uridylyltransferase activity"	1
"GO:0008779 - acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity"	1
"GO:0008780 - acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity"	1
"GO:0008782 - adenosylhomocysteine nucleosidase activity"	1
"GO:0008783 - agmatinase activity"	1
"GO:0008785 - alkyl hydroperoxide reductase activity"	1
"GO:0008786 - allose 6-phosphate isomerase activity"	1
"GO:0008787 - allose kinase activity"	1
"GO:0008788 - alpha,alpha-phosphotrehalase activity"	1
"GO:0008789 - altronate dehydratase activity"	1
"GO:0008790 - arabinose isomerase activity"	1
"GO:0008791 - arginine N-succinyltransferase activity"	1
"GO:0008793 - aromatic-amino-acid:2-oxoglutarate aminotransferase activity"	1
"GO:0008795 - NAD+ synthase activity"	1
"GO:0008796 - bis(5'-nucleosyl)-tetraphosphatase activity"	1
"GO:0008797 - aspartate ammonia-lyase activity"	1
"GO:0008806 - carboxymethylenebutenolidase activity"	1
"GO:0008809 - carnitine racemase activity"	1
"GO:0008810 - cellulase activity"	1
"GO:0008812 - choline dehydrogenase activity"	1
"GO:0008813 - chorismate lyase activity"	1
"GO:0008814 - citrate CoA-transferase activity"	1
"GO:0008816 - citryl-CoA lyase activity"	1
"GO:0008818 - cobalamin 5'-phosphate synthase activity"	1
"GO:0008819 - cobinamide kinase activity"	1
"GO:0008820 - cobinamide phosphate guanylyltransferase activity"	1
"GO:0008823 - cupric reductase activity"	1
"GO:0008824 - cyanate hydratase activity"	1
"GO:0008825 - cyclopropane-fatty-acyl-phospholipid synthase activity"	1
"GO:0008828 - dATP diphosphatase activity"	1
"GO:0008829 - dCTP deaminase activity"	1
"GO:0008830 - dTDP-4-dehydrorhamnose 3,5-epimerase activity"	1
"GO:0008831 - dTDP-4-dehydrorhamnose reductase activity"	1
"GO:0008832 - dGTPase activity"	1
"GO:0008833 - deoxyribonuclease IV (phage-T4-induced) activity"	1
"GO:0008834 - di-trans,poly-cis-decaprenylcistransferase activity"	1
"GO:0008835 - diaminohydroxyphosphoribosylaminopyrimidine deaminase activity"	1
"GO:0008836 - diaminopimelate decarboxylase activity"	1
"GO:0008837 - diaminopimelate epimerase activity"	1
"GO:0008838 - diaminopropionate ammonia-lyase activity"	1
"GO:0008839 - 4-hydroxy-tetrahydrodipicolinate reductase"	1
"GO:0008840 - 4-hydroxy-tetrahydrodipicolinate synthase activity"	1
"GO:0008841 - dihydrofolate synthase activity"	1
"GO:0008843 - endochitinase activity"	1
"GO:0008847 - Enterobacter ribonuclease activity"	1
"GO:0008849 - enterochelin esterase activity"	1
"GO:0008860 - ferredoxin-NAD+ reductase activity"	1
"GO:0008864 - formyltetrahydrofolate deformylase activity"	1
"GO:0008865 - fructokinase activity"	1
"GO:0008866 - fructuronate reductase activity"	1
"GO:0008867 - galactarate dehydratase activity"	1
"GO:0008868 - galactitol-1-phosphate 5-dehydrogenase activity"	1
"GO:0008869 - galactonate dehydratase activity"	1
