"Class Biological Process"	"Total of Genes"
"GO:0046323 - glucose import"	2
"GO:0046348 - amino sugar catabolic process"	2
"GO:0046394 - carboxylic acid biosynthetic process"	2
"GO:0046416 - D-amino acid metabolic process"	2
"GO:0046417 - chorismate metabolic process"	2
"GO:0046493 - lipid A metabolic process"	2
"GO:0046618 - xenobiotic export from cell"	2
"GO:0046653 - tetrahydrofolate metabolic process"	2
"GO:0046655 - folic acid metabolic process"	2
"GO:0046657 - folic acid catabolic process"	2
"GO:0046690 - response to tellurium ion"	2
"GO:0046836 - glycolipid transport"	2
"GO:0046854 - phosphatidylinositol phosphate biosynthetic process"	2
"GO:0046907 - intracellular transport"	2
"GO:0048545 - response to steroid hormone"	2
"GO:0050667 - homocysteine metabolic process"	2
"GO:0050992 - dimethylallyl diphosphate biosynthetic process"	2
"GO:0051131 - chaperone-mediated protein complex assembly"	2
"GO:0051191 - prosthetic group biosynthetic process"	2
"GO:0051252 - regulation of RNA metabolic process"	2
"GO:0051274 - beta-glucan biosynthetic process"	2
"GO:0051649 - establishment of localization in cell"	2
"GO:0052777 - diacetylchitobiose catabolic process"	2
"GO:0055130 - D-alanine catabolic process"	2
"GO:0061157 - mRNA destabilization"	2
"GO:0061504 - cyclic threonylcarbamoyladenosine biosynthetic process"	2
"GO:0061621 - canonical glycolysis"	2
"GO:0061818 - tRNA folding"	2
"GO:0070329 - tRNA seleno-modification"	2
"GO:0070415 - trehalose metabolism in response to cold stress"	2
"GO:0070476 - rRNA (guanine-N7)-methylation"	2
"GO:0070716 - mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication"	2
"GO:0070929 - trans-translation"	2
"GO:0070930 - trans-translation-dependent protein tagging"	2
"GO:0070981 - L-asparagine biosynthetic process"	2
"GO:0070987 - error-free translesion synthesis"	2
"GO:0071139 - resolution of DNA recombination intermediates"	2
"GO:0071237 - cellular response to bacteriocin"	2
"GO:0071249 - cellular response to nitrate"	2
"GO:0071250 - cellular response to nitrite"	2
"GO:0071266 - 'de novo' L-methionine biosynthetic process"	2
"GO:0071271 - 1-butanol biosynthetic process"	2
"GO:0071280 - cellular response to copper ion"	2
"GO:0071281 - cellular response to iron ion"	2
"GO:0071288 - cellular response to mercury ion"	2
"GO:0071292 - cellular response to silver ion"	2
"GO:0071294 - cellular response to zinc ion"	2
"GO:0071421 - manganese ion transmembrane transport"	2
"GO:0071453 - cellular response to oxygen levels"	2
"GO:0071454 - cellular response to anoxia"	2
"GO:0071467 - cellular response to pH"	2
"GO:0071475 - cellular hyperosmotic salinity response"	2
"GO:0071731 - response to nitric oxide"	2
"GO:0071806 - protein transmembrane transport"	2
"GO:0072531 - pyrimidine-containing compound transmembrane transport"	2
"GO:0090313 - regulation of protein targeting to membrane"	2
"GO:0090540 - bacterial cellulose biosynthetic process"	2
"GO:0090593 - peptidyl-histidine autophosphorylation"	2
"GO:0090609 - single-species submerged biofilm formation"	2
"GO:0097054 - L-glutamate biosynthetic process"	2
"GO:0097173 - N-acetylmuramic acid catabolic process"	2
"GO:0097175 - 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process"	2
"GO:0097264 - self proteolysis"	2
"GO:0097510 - base-excision repair, AP site formation via deaminated base removal"	2
"GO:0098710 - guanine import across plasma membrane"	2
"GO:0098721 - uracil import across plasma membrane"	2
"GO:0106035 - protein maturation by [4Fe-4S] cluster transfer"	2
"GO:0106044 - guanine deglycation"	2
"GO:0110147 - protein maturation by nickel ion transfer"	2
"GO:0110155 - NAD-cap decapping"	2
"GO:0120029 - proton export across plasma membrane"	2
"GO:0140018 - regulation of cytoplasmic translational fidelity"	2
"GO:0140673 - transcription elongation-coupled chromatin remodeling"	2
"GO:1900233 - positive regulation of single-species biofilm formation on inanimate substrate"	2
"GO:1901137 - carbohydrate derivative biosynthetic process"	2
"GO:1901276 - tartrate catabolic process"	2
"GO:1901381 - positive regulation of potassium ion transmembrane transport"	2
"GO:1901422 - response to butan-1-ol"	2
"GO:1901562 - response to paraquat"	2
"GO:1901913 - regulation of capsule organization"	2
"GO:1902208 - regulation of bacterial-type flagellum assembly"	2
"GO:1902603 - carnitine transmembrane transport"	2
"GO:1903401 - L-lysine transmembrane transport"	2
"GO:1903605 - cytochrome biosynthetic process"	2
"GO:1903806 - L-isoleucine import across plasma membrane"	2
"GO:1903825 - organic acid transmembrane transport"	2
"GO:1903966 - monounsaturated fatty acid biosynthetic process"	2
"GO:1905039 - carboxylic acid transmembrane transport"	2
"GO:1905906 - regulation of amyloid fibril formation"	2
"GO:1990000 - amyloid fibril formation"	2
"GO:2000104 - negative regulation of DNA-templated DNA replication"	2
"GO:2000145 - regulation of cell motility"	2
"GO:2000767 - positive regulation of cytoplasmic translation"	2
"GO:0000023 - maltose metabolic process"	1
"GO:0000050 - urea cycle"	1
"GO:0000053 - argininosuccinate metabolic process"	1
"GO:0000096 - sulfur amino acid metabolic process"	1
"GO:0000290 - deadenylation-dependent decapping of nuclear-transcribed mRNA"	1
"GO:0000372 - Group I intron splicing"	1
"GO:0000451 - rRNA 2'-O-methylation"	1
"GO:0000481 - maturation of 5S rRNA"	1
"GO:0000716 - transcription-coupled nucleotide-excision repair, DNA damage recognition"	1
"GO:0000719 - photoreactive repair"	1
"GO:0000723 - telomere maintenance"	1
"GO:0000820 - regulation of glutamine family amino acid metabolic process"	1
"GO:0000921 - septin ring assembly"	1
"GO:0001561 - fatty acid alpha-oxidation"	1
"GO:0001680 - tRNA 3'-terminal CCA addition"	1
"GO:0001717 - conversion of seryl-tRNAsec to selenocys-tRNAsec"	1
"GO:0001762 - beta-alanine transport"	1
"GO:0001887 - selenium compound metabolic process"	1
"GO:0001932 - regulation of protein phosphorylation"	1
"GO:0002047 - phenazine biosynthetic process"	1
"GO:0002100 - tRNA wobble adenosine to inosine editing"	1
"GO:0002101 - tRNA wobble cytosine modification"	1
"GO:0002131 - wobble position cytosine ribose methylation"	1
"GO:0002132 - wobble position uridine ribose methylation"	1
"GO:0002136 - tRNA wobble base lysidine biosynthesis"	1
"GO:0002184 - cytoplasmic translational termination"	1
"GO:0002188 - translation reinitiation"	1
"GO:0002938 - tRNA guanine ribose methylation"	1
"GO:0002939 - tRNA N1-guanine methylation"	1
"GO:0005976 - polysaccharide metabolic process"	1
"GO:0005982 - starch metabolic process"	1
"GO:0005986 - sucrose biosynthetic process"	1
"GO:0005987 - sucrose catabolic process"	1
"GO:0005989 - lactose biosynthetic process"	1
"GO:0005995 - melibiose catabolic process"	1
"GO:0005997 - xylulose metabolic process"	1
"GO:0005998 - xylulose catabolic process"	1
"GO:0006001 - fructose catabolic process"	1
"GO:0006013 - mannose metabolic process"	1
"GO:0006053 - N-acetylmannosamine catabolic process"	1
"GO:0006054 - N-acetylneuraminate metabolic process"	1
"GO:0006065 - UDP-glucuronate biosynthetic process"	1
"GO:0006069 - ethanol oxidation"	1
"GO:0006086 - acetyl-CoA biosynthetic process from pyruvate"	1
"GO:0006103 - 2-oxoglutarate metabolic process"	1
"GO:0006104 - succinyl-CoA metabolic process"	1
"GO:0006105 - succinate metabolic process"	1
"GO:0006109 - regulation of carbohydrate metabolic process"	1
"GO:0006115 - ethanol biosynthetic process"	1
"GO:0006124 - ferredoxin metabolic process"	1
"GO:0006146 - adenine catabolic process"	1
"GO:0006147 - guanine catabolic process"	1
"GO:0006148 - inosine catabolic process"	1
"GO:0006149 - deoxyinosine catabolic process"	1
"GO:0006154 - adenosine catabolic process"	1
"GO:0006161 - deoxyguanosine catabolic process"	1
"GO:0006168 - adenine salvage"	1
"GO:0006171 - cAMP biosynthetic process"	1
"GO:0006172 - ADP biosynthetic process"	1
"GO:0006178 - guanine salvage"	1
"GO:0006188 - IMP biosynthetic process"	1
"GO:0006196 - AMP catabolic process"	1
"GO:0006209 - cytosine catabolic process"	1
"GO:0006213 - pyrimidine nucleoside metabolic process"	1
"GO:0006217 - deoxycytidine catabolic process"	1
"GO:0006218 - uridine catabolic process"	1
"GO:0006222 - UMP biosynthetic process"	1
"GO:0006223 - uracil salvage"	1
"GO:0006229 - dUTP biosynthetic process"	1
"GO:0006231 - dTMP biosynthetic process"	1
"GO:0006275 - regulation of DNA replication"	1
"GO:0006282 - regulation of DNA repair"	1
"GO:0006283 - transcription-coupled nucleotide-excision repair"	1
"GO:0006287 - base-excision repair, gap-filling"	1
"GO:0006288 - base-excision repair, DNA ligation"	1
"GO:0006297 - nucleotide-excision repair, DNA gap filling"	1
"GO:0006357 - regulation of transcription by RNA polymerase II"	1
"GO:0006378 - mRNA polyadenylation"	1
"GO:0006382 - adenosine to inosine editing"	1
"GO:0006388 - tRNA splicing, via endonucleolytic cleavage and ligation"	1
"GO:0006419 - alanyl-tRNA aminoacylation"	1
"GO:0006421 - asparaginyl-tRNA aminoacylation"	1
"GO:0006422 - aspartyl-tRNA aminoacylation"	1
"GO:0006423 - cysteinyl-tRNA aminoacylation"	1
"GO:0006425 - glutaminyl-tRNA aminoacylation"	1
"GO:0006427 - histidyl-tRNA aminoacylation"	1
"GO:0006428 - isoleucyl-tRNA aminoacylation"	1
"GO:0006429 - leucyl-tRNA aminoacylation"	1
"GO:0006431 - methionyl-tRNA aminoacylation"	1
"GO:0006433 - prolyl-tRNA aminoacylation"	1
"GO:0006434 - seryl-tRNA aminoacylation"	1
"GO:0006435 - threonyl-tRNA aminoacylation"	1
"GO:0006436 - tryptophanyl-tRNA aminoacylation"	1
"GO:0006437 - tyrosyl-tRNA aminoacylation"	1
"GO:0006438 - valyl-tRNA aminoacylation"	1
"GO:0006446 - regulation of translational initiation"	1
"GO:0006449 - regulation of translational termination"	1
"GO:0006450 - regulation of translational fidelity"	1
"GO:0006482 - protein demethylation"	1
"GO:0006493 - protein O-linked glycosylation"	1
"GO:0006524 - alanine catabolic process"	1
"GO:0006528 - asparagine metabolic process"	1
"GO:0006530 - asparagine catabolic process"	1
"GO:0006531 - aspartate metabolic process"	1
"GO:0006544 - glycine metabolic process"	1
"GO:0006560 - proline metabolic process"	1
"GO:0006562 - proline catabolic process"	1
"GO:0006563 - L-serine metabolic process"	1
"GO:0006574 - valine catabolic process"	1
"GO:0006580 - ethanolamine metabolic process"	1
"GO:0006593 - ornithine catabolic process"	1
"GO:0006636 - unsaturated fatty acid biosynthetic process"	1
"GO:0006641 - triglyceride metabolic process"	1
"GO:0006646 - phosphatidylethanolamine biosynthetic process"	1
"GO:0006693 - prostaglandin metabolic process"	1
"GO:0006729 - tetrahydrobiopterin biosynthetic process"	1
"GO:0006734 - NADH metabolic process"	1
"GO:0006739 - NADP metabolic process"	1
"GO:0006741 - NADP biosynthetic process"	1
"GO:0006742 - NADP catabolic process"	1
"GO:0006747 - FAD biosynthetic process"	1
"GO:0006761 - dihydrofolate biosynthetic process"	1
"GO:0006768 - biotin metabolic process"	1
"GO:0006771 - riboflavin metabolic process"	1
"GO:0006778 - porphyrin-containing compound metabolic process"	1
"GO:0006784 - heme A biosynthetic process"	1
"GO:0006799 - polyphosphate biosynthetic process"	1
"GO:0006828 - manganese ion transport"	1
"GO:0006847 - plasma membrane acetate transport"	1
"GO:0006863 - purine nucleobase transport"	1
"GO:0006864 - pyrimidine nucleotide transport"	1
"GO:0006874 - intracellular calcium ion homeostasis"	1
"GO:0006884 - cell volume homeostasis"	1
"GO:0007040 - lysosome organization"	1
"GO:0007603 - phototransduction, visible light"	1
"GO:0008104 - protein localization"	1
"GO:0008216 - spermidine metabolic process"	1
"GO:0008361 - regulation of cell size"	1
"GO:0008611 - ether lipid biosynthetic process"	1
"GO:0008645 - hexose transmembrane transport"	1
"GO:0009050 - glycopeptide catabolic process"	1
"GO:0009056 - catabolic process"	1
"GO:0009071 - serine family amino acid catabolic process"	1
"GO:0009072 - aromatic amino acid metabolic process"	1
"GO:0009081 - branched-chain amino acid metabolic process"	1
"GO:0009106 - lipoate metabolic process"	1
"GO:0009123 - nucleoside monophosphate metabolic process"	1
"GO:0009143 - nucleoside triphosphate catabolic process"	1
"GO:0009146 - purine nucleoside triphosphate catabolic process"	1
"GO:0009156 - ribonucleoside monophosphate biosynthetic process"	1
"GO:0009168 - purine ribonucleoside monophosphate biosynthetic process"	1
"GO:0009220 - pyrimidine ribonucleotide biosynthetic process"	1
"GO:0009224 - CMP biosynthetic process"	1
"GO:0009237 - siderophore metabolic process"	1
"GO:0009240 - isopentenyl diphosphate biosynthetic process"	1
"GO:0009249 - protein lipoylation"	1
"GO:0009251 - glucan catabolic process"	1
"GO:0009308 - amine metabolic process"	1
"GO:0009398 - FMN biosynthetic process"	1
"GO:0009403 - toxin biosynthetic process"	1
"GO:0009439 - cyanate metabolic process"	1
"GO:0009597 - detection of virus"	1
"GO:0009637 - response to blue light"	1
"GO:0009697 - salicylic acid biosynthetic process"	1
"GO:0009758 - carbohydrate utilization"	1
"GO:0009772 - photosynthetic electron transport in photosystem II"	1
"GO:0009773 - photosynthetic electron transport in photosystem I"	1
"GO:0009785 - blue light signaling pathway"	1
"GO:0009809 - lignin biosynthetic process"	1
"GO:0009853 - photorespiration"	1
"GO:0009891 - positive regulation of biosynthetic process"	1
"GO:0009968 - negative regulation of signal transduction"	1
"GO:0009972 - cytidine deamination"	1
"GO:0010020 - chloroplast fission"	1
"GO:0010033 - response to organic substance"	1
"GO:0010034 - response to acetate"	1
"GO:0010039 - response to iron ion"	1
"GO:0010044 - response to aluminum ion"	1
"GO:0010133 - proline catabolic process to glutamate"	1
"GO:0010134 - sulfate assimilation via adenylyl sulfate reduction"	1
"GO:0010139 - pyrimidine deoxyribonucleotide salvage"	1
"GO:0010226 - response to lithium ion"	1
"GO:0010253 - UDP-rhamnose biosynthetic process"	1
"GO:0010288 - response to lead ion"	1
"GO:0010312 - detoxification of zinc ion"	1
"GO:0010332 - response to gamma radiation"	1
"GO:0010498 - proteasomal protein catabolic process"	1
"GO:0010501 - RNA secondary structure unwinding"	1
"GO:0010557 - positive regulation of macromolecule biosynthetic process"	1
"GO:0010587 - miRNA catabolic process"	1
"GO:0010628 - positive regulation of gene expression"	1
"GO:0010795 - regulation of ubiquinone biosynthetic process"	1
"GO:0010974 - negative regulation of division septum assembly"	1
"GO:0015670 - carbon dioxide transport"	1
"GO:0015671 - oxygen transport"	1
"GO:0015673 - silver ion transport"	1
"GO:0015691 - cadmium ion transport"	1
"GO:0015692 - lead ion transport"	1
"GO:0015695 - organic cation transport"	1
"GO:0015699 - antimonite transport"	1
"GO:0015700 - arsenite transport"	1
"GO:0015712 - hexose phosphate transport"	1
"GO:0015720 - allantoin transport"	1
"GO:0015726 - L-idonate transmembrane transport"	1
"GO:0015733 - shikimate transmembrane transport"	1
"GO:0015736 - hexuronate transmembrane transport"	1
"GO:0015747 - urate transport"	1
"GO:0015762 - rhamnose transmembrane transport"	1
"GO:0015769 - melibiose transport"	1
"GO:0015778 - hexuronide transmembrane transport"	1
"GO:0015791 - polyol transmembrane transport"	1
"GO:0015798 - myo-inositol transport"	1
"GO:0015806 - S-methylmethionine transport"	1
"GO:0015807 - L-amino acid transport"	1
"GO:0015810 - aspartate transmembrane transport"	1
"GO:0015812 - gamma-aminobutyric acid transport"	1
"GO:0015814 - p-aminobenzoyl-glutamate transport"	1
"GO:0015816 - glycine transport"	1
"GO:0015824 - proline transport"	1
"GO:0015828 - tyrosine transport"	1
"GO:0015839 - cadaverine transport"	1
"GO:0015856 - cytosine transport"	1
"GO:0015857 - uracil transport"	1
"GO:0015863 - xanthosine transport"	1
"GO:0015878 - biotin transport"	1
"GO:0015879 - carnitine transport"	1
"GO:0015887 - pantothenate transmembrane transport"	1
"GO:0015909 - long-chain fatty acid transport"	1
"GO:0015912 - short-chain fatty acid transport"	1
"GO:0015936 - coenzyme A metabolic process"	1
"GO:0015941 - pantothenate catabolic process"	1
"GO:0015942 - formate metabolic process"	1
"GO:0015950 - purine nucleotide interconversion"	1
"GO:0015974 - guanosine pentaphosphate catabolic process"	1
"GO:0015977 - carbon fixation"	1
"GO:0016078 - tRNA catabolic process"	1
"GO:0016259 - selenocysteine metabolic process"	1
"GO:0016579 - protein deubiquitination"	1
"GO:0016926 - protein desumoylation"	1
"GO:0017003 - protein-heme linkage"	1
"GO:0017189 - N-terminal peptidyl-alanine acetylation"	1
"GO:0018012 - N-terminal peptidyl-alanine trimethylation"	1
"GO:0018023 - peptidyl-lysine trimethylation"	1
"GO:0018063 - cytochrome c-heme linkage"	1
"GO:0018105 - peptidyl-serine phosphorylation"	1
"GO:0018117 - protein adenylylation"	1
"GO:0018119 - peptidyl-cysteine S-nitrosylation"	1
"GO:0018125 - peptidyl-cysteine methylation"	1
"GO:0018131 - oxazole or thiazole biosynthetic process"	1
"GO:0018201 - peptidyl-glycine modification"	1
"GO:0018205 - peptidyl-lysine modification"	1
"GO:0018247 - protein-phosphoribosyl dephospho-coenzyme A linkage"	1
"GO:0018277 - protein deamination"	1
"GO:0018283 - iron incorporation into metallo-sulfur cluster"	1
"GO:0018315 - molybdenum incorporation into molybdenum-molybdopterin complex"	1
"GO:0018345 - protein palmitoylation"	1
"GO:0018394 - peptidyl-lysine acetylation"	1
"GO:0018410 - C-terminal protein amino acid modification"	1
"GO:0018909 - dodecyl sulfate metabolic process"	1
"GO:0018937 - nitroglycerin metabolic process"	1
"GO:0019042 - viral latency"	1
"GO:0019217 - regulation of fatty acid metabolic process"	1
"GO:0019242 - methylglyoxal biosynthetic process"	1
"GO:0019250 - aerobic cobalamin biosynthetic process"	1
"GO:0019264 - glycine biosynthetic process from serine"	1
"GO:0019277 - UDP-N-acetylgalactosamine biosynthetic process"	1
"GO:0019281 - L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine"	1
"GO:0019292 - tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate"	1
"GO:0019309 - mannose catabolic process"	1
"GO:0019310 - inositol catabolic process"	1
"GO:0019318 - hexose metabolic process"	1
"GO:0019321 - pentose metabolic process"	1
"GO:0019333 - denitrification pathway"	1
"GO:0019343 - cysteine biosynthetic process via cystathionine"	1
"GO:0019354 - siroheme biosynthetic process"	1
"GO:0019365 - pyridine nucleotide salvage"	1
"GO:0019367 - fatty acid elongation, saturated fatty acid"	1
"GO:0019379 - sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"	1
"GO:0019391 - glucuronoside catabolic process"	1
"GO:0019432 - triglyceride biosynthetic process"	1
"GO:0019438 - aromatic compound biosynthetic process"	1
"GO:0019447 - D-cysteine catabolic process"	1
"GO:0019509 - L-methionine salvage from methylthioadenosine"	1
"GO:0019529 - taurine catabolic process"	1
"GO:0019542 - propionate biosynthetic process"	1
"GO:0019584 - galactonate catabolic process"	1
"GO:0019595 - non-phosphorylated glucose catabolic process"	1
"GO:0019619 - 3,4-dihydroxybenzoate catabolic process"	1
"GO:0019660 - glycolytic fermentation"	1
"GO:0019665 - anaerobic amino acid catabolic process"	1
"GO:0019673 - GDP-mannose metabolic process"	1
"GO:0019674 - NAD metabolic process"	1
"GO:0019677 - NAD catabolic process"	1
"GO:0019678 - propionate metabolic process, methylmalonyl pathway"	1
"GO:0019686 - purine nucleoside interconversion"	1
"GO:0019720 - Mo-molybdopterin cofactor metabolic process"	1
"GO:0019748 - secondary metabolic process"	1
"GO:0019805 - quinolinate biosynthetic process"	1
"GO:0019859 - thymine metabolic process"	1
"GO:0019988 - charged-tRNA amino acid modification"	1
"GO:0030150 - protein import into mitochondrial matrix"	1
"GO:0030245 - cellulose catabolic process"	1
"GO:0030259 - lipid glycosylation"	1
"GO:0030307 - positive regulation of cell growth"	1
"GO:0030318 - melanocyte differentiation"	1
"GO:0030573 - bile acid catabolic process"	1
"GO:0030643 - intracellular phosphate ion homeostasis"	1
"GO:0030813 - positive regulation of nucleotide catabolic process"	1
"GO:0030961 - peptidyl-arginine hydroxylation"	1
"GO:0031053 - primary miRNA processing"	1
"GO:0031054 - pre-miRNA processing"	1
"GO:0031118 - rRNA pseudouridine synthesis"	1
"GO:0031163 - metallo-sulfur cluster assembly"	1
"GO:0031342 - negative regulation of cell killing"	1
"GO:0031346 - positive regulation of cell projection organization"	1
"GO:0031365 - N-terminal protein amino acid modification"	1
"GO:0031400 - negative regulation of protein modification process"	1
"GO:0031427 - response to methotrexate"	1
"GO:0031648 - protein destabilization"	1
"GO:0031667 - response to nutrient levels"	1
"GO:0031670 - cellular response to nutrient"	1
"GO:0032055 - negative regulation of translation in response to stress"	1
"GO:0032110 - regulation of protein histidine kinase activity"	1
"GO:0032194 - ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"	1
"GO:0032238 - adenosine transport"	1
"GO:0032261 - purine nucleotide salvage"	1
"GO:0032265 - XMP salvage"	1
"GO:0032361 - pyridoxal phosphate catabolic process"	1
"GO:0032413 - negative regulation of ion transmembrane transporter activity"	1
"GO:0032727 - positive regulation of interferon-alpha production"	1
"GO:0032729 - positive regulation of type II interferon production"	1
"GO:0032755 - positive regulation of interleukin-6 production"	1
"GO:0032781 - positive regulation of ATP-dependent activity"	1
"GO:0032787 - monocarboxylic acid metabolic process"	1
"GO:0032869 - cellular response to insulin stimulus"	1
"GO:0032885 - regulation of polysaccharide biosynthetic process"	1
"GO:0032922 - circadian regulation of gene expression"	1
"GO:0032981 - mitochondrial respiratory chain complex I assembly"	1
"GO:0033051 - aminophosphonate metabolic process"	1
"GO:0033120 - positive regulation of RNA splicing"	1
"GO:0033195 - response to alkyl hydroperoxide"	1
"GO:0033215 - reductive iron assimilation"	1
"GO:0033320 - UDP-D-xylose biosynthetic process"	1
"GO:0033384 - geranyl diphosphate biosynthetic process"	1
"GO:0033389 - putrescine biosynthetic process from arginine, using agmatinase"	1
"GO:0033468 - CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process"	1
"GO:0033477 - S-methylmethionine metabolic process"	1
"GO:0033494 - ferulate metabolic process"	1
"GO:0033512 - L-lysine catabolic process to acetyl-CoA via saccharopine"	1
"GO:0033514 - L-lysine catabolic process to acetyl-CoA via L-pipecolate"	1
"GO:0033528 - S-methylmethionine cycle"	1
"GO:0033542 - fatty acid beta-oxidation, unsaturated, even number"	1
"GO:0033543 - fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway"	1
"GO:0033567 - DNA replication, Okazaki fragment processing"	1
"GO:0034195 - L-galactonate catabolic process"	1
"GO:0034203 - glycolipid translocation"	1
"GO:0034213 - quinolinate catabolic process"	1
"GO:0034229 - ethanolamine transport"	1
"GO:0034258 - nicotinamide riboside transport"	1
"GO:0034289 - detection of maltose stimulus"	1
"GO:0034421 - post-translational protein acetylation"	1
"GO:0034427 - nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'"	1
"GO:0034514 - mitochondrial unfolded protein response"	1
"GO:0034552 - respiratory chain complex II assembly"	1
"GO:0034620 - cellular response to unfolded protein"	1
"GO:0034635 - glutathione transport"	1
"GO:0034656 - nucleobase-containing small molecule catabolic process"	1
"GO:0034983 - peptidyl-lysine deacetylation"	1
"GO:0035335 - peptidyl-tyrosine dephosphorylation"	1
"GO:0035350 - FAD transmembrane transport"	1
"GO:0035433 - acetate transmembrane transport"	1
"GO:0035513 - oxidative RNA demethylation"	1
"GO:0035524 - proline transmembrane transport"	1
"GO:0035552 - oxidative single-stranded DNA demethylation"	1
"GO:0035553 - oxidative single-stranded RNA demethylation"	1
"GO:0035556 - intracellular signal transduction"	1
"GO:0035600 - tRNA methylthiolation"	1
"GO:0035606 - peptidyl-cysteine S-trans-nitrosylation"	1
"GO:0035785 - intracellular nickel ion homeostasis"	1
"GO:0035825 - homologous recombination"	1
"GO:0035865 - cellular response to potassium ion"	1
"GO:0035879 - plasma membrane lactate transport"	1
"GO:0035971 - peptidyl-histidine dephosphorylation"	1
"GO:0036049 - peptidyl-lysine desuccinylation"	1
"GO:0036088 - D-serine catabolic process"	1
"GO:0036198 - dTMP salvage"	1
"GO:0036260 - RNA capping"	1
"GO:0036265 - RNA (guanine-N7)-methylation"	1
"GO:0036297 - interstrand cross-link repair"	1
"GO:0036298 - recombinational interstrand cross-link repair"	1
"GO:0042157 - lipoprotein metabolic process"	1
"GO:0042167 - heme catabolic process"	1
"GO:0042168 - heme metabolic process"	1
"GO:0042262 - DNA protection"	1
"GO:0042304 - regulation of fatty acid biosynthetic process"	1
"GO:0042354 - L-fucose metabolic process"	1
"GO:0042371 - vitamin K biosynthetic process"	1
"GO:0042391 - regulation of membrane potential"	1
"GO:0042398 - cellular modified amino acid biosynthetic process"	1
"GO:0042431 - indole metabolic process"	1
"GO:0042438 - melanin biosynthetic process"	1
"GO:0042447 - hormone catabolic process"	1
"GO:0042454 - ribonucleoside catabolic process"	1
"GO:0042538 - hyperosmotic salinity response"	1
"GO:0042545 - cell wall modification"	1
"GO:0042593 - glucose homeostasis"	1
"GO:0042619 - poly-hydroxybutyrate biosynthetic process"	1
"GO:0042743 - hydrogen peroxide metabolic process"	1
"GO:0042817 - pyridoxal metabolic process"	1
"GO:0042819 - vitamin B6 biosynthetic process"	1
"GO:0042846 - glycol catabolic process"	1
"GO:0042852 - L-alanine biosynthetic process"	1
"GO:0042866 - pyruvate biosynthetic process"	1
"GO:0042873 - aldonate transmembrane transport"	1
"GO:0042883 - cysteine transport"	1
"GO:0042885 - microcin B17 transport"	1
"GO:0042919 - benzoate transport"	1
"GO:0042920 - 3-hydroxyphenylpropionic acid transmembrane transport"	1
"GO:0043041 - amino acid activation for nonribosomal peptide biosynthetic process"	1
"GO:0043066 - negative regulation of apoptotic process"	1
"GO:0043085 - positive regulation of catalytic activity"	1
"GO:0043099 - pyrimidine deoxyribonucleoside salvage"	1
"GO:0043100 - pyrimidine nucleobase salvage"	1
"GO:0043102 - amino acid salvage"	1
"GO:0043103 - hypoxanthine salvage"	1
"GO:0043113 - receptor clustering"	1
"GO:0043153 - entrainment of circadian clock by photoperiod"	1
"GO:0043201 - response to leucine"	1
"GO:0043254 - regulation of protein-containing complex assembly"	1
"GO:0043433 - negative regulation of DNA-binding transcription factor activity"	1
"GO:0043442 - acetoacetic acid catabolic process"	1
"GO:0043468 - regulation of fucose catabolic process"	1
"GO:0043487 - regulation of RNA stability"	1
"GO:0043547 - positive regulation of GTPase activity"	1
"GO:0043580 - periplasmic space organization"	1
"GO:0043602 - nitrate catabolic process"	1
"GO:0043604 - amide biosynthetic process"	1
"GO:0043609 - regulation of carbon utilization"	1
"GO:0043610 - regulation of carbohydrate utilization"	1
"GO:0043628 - regulatory ncRNA 3'-end processing"	1
"GO:0043633 - polyadenylation-dependent RNA catabolic process"	1
"GO:0043683 - type IV pilus assembly"	1
"GO:0043686 - co-translational protein modification"	1
"GO:0044179 - hemolysis in another organism"	1
"GO:0044211 - CTP salvage"	1
"GO:0044283 - small molecule biosynthetic process"	1
"GO:0044341 - sodium-dependent phosphate transport"	1
"GO:0044349 - DNA excision"	1
"GO:0044403 - biological process involved in symbiotic interaction"	1
"GO:0044532 - modulation of apoptotic process in another organism"	1
"GO:0044550 - secondary metabolite biosynthetic process"	1
"GO:0044581 - butyryl-CoA catabolic process to butyrate"	1
"GO:0044806 - G-quadruplex DNA unwinding"	1
"GO:0044873 - lipoprotein localization to membrane"	1
"GO:0045013 - carbon catabolite repression of transcription"	1
"GO:0045041 - protein import into mitochondrial intermembrane space"	1
"GO:0045332 - phospholipid translocation"	1
"GO:0045337 - farnesyl diphosphate biosynthetic process"	1
"GO:0045493 - xylan catabolic process"	1
"GO:0045723 - positive regulation of fatty acid biosynthetic process"	1
"GO:0045732 - positive regulation of protein catabolic process"	1
"GO:0045819 - positive regulation of glycogen catabolic process"	1
"GO:0045828 - positive regulation of isoprenoid metabolic process"	1
"GO:0045848 - positive regulation of nitrogen utilization"	1
"GO:0045861 - negative regulation of proteolysis"	1
